,1.03,2.02,3.05,4.02,5.05,6.04,7.07,8.0,9.03,10.02,11.05,12.02,13.05,14.04,15.07,16.2,17.23,18.24,19.25,20.22,21.25,22.24,23.27,24.2
65,25,34,54,80,116,157,206,255,318,359,418,465,519,571,622,672,716,753,788,814,838,859,871,884
66,24,34,53,79,114,158,207,255,318,359,419,465,519,570,622,672,716,754,787,814,836,856,873,883
67,24,35,53,79,116,159,205,254,317,358,418,465,519,571,621,673,716,752,788,814,835,856,874,884
68,25,34,54,79,116,156,207,254,318,360,418,466,519,571,620,674,713,751,786,815,837,856,873,886
69,23,35,53,79,116,159,207,253,319,360,417,466,518,571,622,674,714,753,786,817,837,856,874,885
70,24,34,53,79,114,158,207,254,318,359,418,465,520,570,622,673,715,754,788,815,838,858,872,884
71,24,34,53,81,115,156,206,254,318,359,419,465,520,570,622,672,717,754,788,815,835,857,872,883
72,24,36,53,79,117,158,206,255,318,359,418,466,519,570,621,674,715,753,789,814,834,855,873,884
73,25,34,52,79,116,158,206,254,318,360,418,466,519,571,620,673,714,752,787,815,837,856,874,886
74,24,35,53,79,116,158,207,253,319,360,417,467,520,572,621,674,713,751,787,817,839,856,872,884
75,23,35,53,80,116,157,206,254,319,357,419,466,520,570,622,672,716,754,787,815,837,858,872,883
76,23,34,53,79,116,158,206,254,318,358,418,464,519,569,623,672,717,754,787,816,835,857,872,882
77,24,35,52,79,115,159,207,254,317,360,418,465,519,569,621,673,716,752,788,815,835,856,874,885
78,24,34,53,79,116,159,207,252,318,360,418,467,519,571,620,674,714,751,789,815,837,855,874,886
79,24,34,54,80,116,158,205,253,319,359,418,467,519,572,620,675,715,752,787,817,837,856,873,885
80,24,34,54,79,115,159,206,255,318,359,419,465,520,570,622,673,715,753,786,815,837,856,873,884
81,23,35,54,80,115,158,207,255,318,360,419,464,520,570,623,672,716,754,787,814,837,858,872,884
82,25,34,53,79,115,158,207,253,319,361,416,465,518,569,621,672,715,753,788,814,836,856,873,883
83,24,36,53,80,116,157,205,254,318,358,417,468,518,571,621,673,715,752,788,815,836,856,874,886
84,24,35,54,79,116,158,206,255,319,358,419,466,520,572,622,675,713,752,787,817,837,856,873,886
85,23,35,53,79,114,158,207,255,318,358,419,464,521,570,623,673,715,753,785,816,838,855,874,885
86,24,34,53,79,117,157,206,254,318,360,418,466,519,569,622,672,716,753,787,815,837,858,872,884
87,23,35,54,80,115,157,206,254,318,360,417,466,518,568,621,672,716,753,787,815,836,857,871,884
88,24,34,53,80,117,160,207,254,318,359,417,466,519,571,621,675,715,753,789,814,836,856,874,885
89,23,33,54,80,116,158,206,253,317,359,419,465,519,571,621,674,714,752,788,815,835,855,873,886
90,24,34,53,79,115,157,207,254,318,360,418,465,520,570,622,673,714,752,785,815,836,856,873,886
91,23,35,53,79,116,158,206,254,319,359,417,466,518,569,623,672,716,754,787,815,839,856,873,884
92,24,34,53,79,116,159,206,255,319,360,416,465,518,568,623,672,715,754,787,815,837,857,871,883
93,23,35,54,79,116,159,207,255,318,358,418,466,519,570,620,673,716,753,788,814,836,856,873,884
94,24,33,52,80,116,158,206,253,318,359,419,466,520,572,621,674,714,752,787,816,836,854,874,885
95,23,34,53,80,115,158,206,252,319,360,417,464,521,571,622,673,715,751,787,816,836,856,874,886
96,24,33,53,80,117,159,207,254,319,360,417,466,518,569,624,673,715,754,787,815,837,856,874,886
97,24,34,54,80,116,158,206,255,317,359,419,467,518,570,622,673,715,754,787,815,838,858,873,884
98,25,34,53,79,117,158,206,253,318,359,418,466,519,571,621,673,716,753,788,814,835,857,872,883
99,24,35,54,79,116,158,206,254,318,360,418,465,520,572,621,673,715,752,789,813,836,856,874,884
100,24,35,53,81,116,158,207,255,320,360,418,464,520,570,622,674,714,751,787,815,836,855,873,885
101,25,33,53,79,117,158,206,256,319,358,417,465,519,569,623,673,715,753,786,815,838,857,874,884
102,24,34,53,79,115,156,207,253,318,359,418,467,518,570,622,672,716,754,788,816,838,857,873,883
103,24,34,54,78,116,158,205,253,318,359,419,465,519,570,621,672,715,753,787,815,835,856,871,883
104,24,34,53,79,117,159,207,254,320,360,417,465,521,571,621,675,716,752,788,815,836,855,874,885
105,23,34,54,80,116,158,207,254,317,360,418,465,518,570,622,675,713,751,788,816,836,855,873,885
106,24,34,53,79,115,158,206,253,317,359,417,465,519,569,622,672,714,752,787,816,837,855,873,885
107,23,35,53,79,116,158,205,254,318,358,419,467,518,570,622,671,716,754,787,816,838,856,874,885
108,24,34,53,80,117,158,207,254,319,360,419,466,520,571,620,673,715,753,788,815,836,858,872,883
109,25,35,54,79,116,159,207,255,318,360,417,464,520,571,622,673,715,753,789,813,834,856,873,883
110,25,34,53,80,115,158,207,254,318,359,417,466,520,571,621,674,713,752,788,816,836,856,874,883
111,24,34,52,79,115,158,206,253,317,358,418,466,519,570,623,674,714,751,787,817,837,855,874,885
112,24,31,53,79,117,158,207,254,319,359,418,467,520,569,622,673,717,754,787,815,838,856,874,886
113,23,35,54,79,116,158,206,254,319,361,418,466,519,571,621,672,716,753,788,815,837,857,871,885
114,24,34,53,81,116,159,206,254,318,360,417,464,520,572,620,673,715,753,789,814,836,857,872,883
115,25,35,53,79,115,158,207,253,317,358,417,465,520,571,621,674,715,752,789,814,836,856,873,884
116,24,34,53,79,115,157,206,255,318,359,420,467,519,569,622,673,714,752,788,817,837,855,875,886
117,23,34,54,79,116,159,206,255,320,360,419,466,518,569,623,672,716,753,786,817,837,855,874,885
118,24,33,54,81,115,158,206,254,318,360,416,465,519,571,621,673,716,753,787,815,838,857,874,884
119,24,35,53,79,116,158,205,252,317,359,417,465,521,573,621,674,715,753,788,816,835,858,871,883
120,24,33,53,79,115,158,206,254,319,358,417,466,520,570,623,674,715,752,789,814,836,856,873,882
121,24,35,54,80,116,158,207,254,318,360,418,467,518,570,624,674,713,751,788,816,836,856,874,886
122,23,33,53,81,115,158,206,254,318,360,417,467,519,569,622,672,715,753,788,816,836,856,874,885
