,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
24,0,7,0,47,0,130,0,296,0,453,0,578,0,671,0,769,0,817,0,848
25,0,8,0,48,0,129,0,296,0,453,0,578,0,672,0,771,0,818,0,847
26,0,7,0,46,0,131,0,296,0,453,0,577,0,671,0,772,0,818,0,846
27,1,9,0,47,0,131,0,296,0,453,0,578,0,672,0,771,0,818,0,847
28,0,9,0,47,0,131,0,296,0,452,0,578,0,672,0,769,0,818,0,847
29,0,8,0,48,0,131,0,296,0,453,0,578,0,671,0,770,0,819,0,848
30,0,8,0,47,0,130,0,297,0,453,0,578,0,671,0,771,0,818,0,848
31,0,7,0,48,0,130,0,296,0,453,0,578,0,673,0,771,0,818,0,847
32,0,8,0,47,0,130,0,296,0,453,0,577,0,672,0,771,0,818,0,846
33,0,8,0,48,0,130,0,296,0,453,0,578,0,672,0,771,0,818,0,847
34,0,10,0,48,0,129,0,296,0,453,0,579,0,671,0,770,0,818,0,847
35,0,8,0,48,0,129,0,296,0,452,0,578,0,672,0,770,0,818,0,847
36,0,8,0,47,0,130,0,296,0,453,0,579,0,672,0,771,0,819,0,847
37,0,8,0,47,0,130,0,296,0,453,0,578,0,672,0,770,0,819,0,847
38,0,8,0,47,0,129,0,296,0,453,0,579,0,672,0,770,0,818,0,848
39,0,8,0,45,0,130,0,295,0,453,0,579,0,674,0,770,0,819,0,848
40,0,8,0,48,0,130,0,295,0,452,0,578,0,672,0,770,0,819,0,848
41,0,8,0,47,0,131,0,296,0,453,0,579,0,672,0,770,0,819,0,848
42,0,8,0,47,0,129,0,296,0,453,0,579,0,672,0,769,0,820,0,848
43,0,8,0,47,0,130,0,296,0,453,0,579,0,671,0,770,0,819,0,848
44,0,9,0,47,0,130,0,295,0,453,0,579,0,672,0,770,0,819,0,848
45,1,8,0,48,0,130,0,295,0,450,0,578,0,671,0,770,0,819,0,848
46,0,8,0,48,0,130,0,296,0,455,0,578,0,672,0,771,0,819,0,848
47,0,8,0,48,0,129,0,296,0,452,0,578,0,671,0,771,0,819,0,848
48,0,7,0,47,0,131,0,295,0,454,0,579,0,671,0,770,0,819,0,848
49,0,8,0,47,0,130,0,296,0,453,0,578,0,671,0,771,0,819,0,847
50,0,9,0,47,0,130,0,295,0,455,0,578,0,671,0,771,0,819,0,848
51,0,9,0,48,0,130,0,296,0,454,0,579,0,671,0,771,0,820,0,848
52,0,8,0,47,0,130,0,297,0,454,0,578,0,672,0,770,0,820,0,848
53,0,7,0,47,0,130,0,296,0,453,0,578,0,671,0,771,0,820,0,848
54,0,7,0,47,0,130,0,296,0,453,0,578,0,672,0,771,0,819,0,848
55,0,8,0,48,0,130,0,296,0,453,0,578,0,672,0,771,0,821,0,848
56,0,8,0,47,0,130,0,296,0,456,0,578,0,671,0,771,0,819,0,848
