,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
34,3,19,44,68,123,164,248,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,19,44,69,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,15,44,68,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,15,44,69,124,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,16,43,70,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3,16,43,69,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,16,44,69,124,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,15,44,70,124,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,15,43,68,122,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,16,42,68,122,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3,16,41,69,122,163,250,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,16,44,73,122,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3,16,44,72,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,15,47,69,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,16,42,68,123,164,248,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,16,45,70,123,161,248,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,16,44,71,127,161,249,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,15,44,70,120,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3,18,45,68,128,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,11,44,69,124,164,249,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,16,44,69,121,164,249,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,15,43,69,122,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,16,45,69,124,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3,14,44,69,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,16,44,68,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,16,44,68,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3,16,44,69,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3,15,44,70,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,16,47,69,122,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
63,4,16,45,67,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,14,44,69,122,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3,16,42,69,122,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3,16,45,70,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3,16,46,68,123,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
68,4,16,44,72,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2,15,44,68,123,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5,12,43,69,123,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
71,4,15,44,70,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4,15,43,67,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3,15,44,70,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,14,44,68,124,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,18,44,68,124,162,246,0,0,0,0,0,0,0,0,0,0,0,0,0
76,3,15,43,69,124,161,249,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,15,42,70,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3,15,45,68,123,162,247,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,15,42,69,122,162,246,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,16,36,69,123,158,248,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4,16,44,69,122,158,247,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2,16,44,68,127,166,247,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3,15,45,70,125,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3,15,44,67,120,165,248,0,0,0,0,0,0,0,0,0,0,0,0,0
85,3,15,44,72,118,165,248,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3,16,44,71,127,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
87,3,16,43,69,119,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3,20,45,69,124,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2,14,44,67,120,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3,15,44,72,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
91,3,15,44,69,123,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,16,43,69,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3,16,45,70,123,163,249,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3,15,43,67,123,162,249,0,0,0,0,0,0,0,0,0,0,0,0,0
95,3,15,44,68,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,16,43,68,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
97,4,16,44,69,123,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
98,4,16,50,69,122,162,248,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3,15,44,69,123,163,248,0,0,0,0,0,0,0,0,0,0,0,0,0
